Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,1.143996358,1.267647242,1.408623132,1.460937575,2.147589912,2.617060398,2.939936558,3.755923312,2.984757176,2.751181713,2.637532569
Angola,5.590728406,4.568534589,4.151633624,3.612273135,3.435367756,3.64542774,3.697914144,3.695967555,3.857077991,3.615593683,3.646200582
Albania,4.517187374,4.275716533,3.958693064,3.568300331,3.442663378,3.409104943,3.256748236,3.322800967,2.941323617,3.382528489,3.158878953
Arab World,4.665360123,4.63517815,4.639898804,4.576168303,4.626237141,4.789952932,4.857751918,4.75768032,4.879788693,4.762683675,4.833810385
United Arab Emirates,4.327944637,4.388426055,4.148020195,4.363040043,5.002097827,5.335314939,5.401543554,5.354378162,5.324712688,5.220465415,5.268228526
Argentina,4.982357018,4.60310755,4.630748986,4.302810279,4.352851958,4.503318515,4.251181956,4.10057606,4.158853351,4.175141824,4.344156368
Armenia,6.253430401,6.586656314,5.925896372,5.808758548,5.721859565,5.79058511,5.390734123,5.630539878,5.745630912,5.430581129,5.347381268
Antigua and Barbuda,3.675154916,3.536519815,3.249176539,3.116334811,3.190453904,3.828721889,4.181389362,4.184252305,4.137797271,4.152174587,4.011551141
Australia,6.149718709,6.001137337,6.068309792,6.049090187,6.048628654,5.9604191,5.863813454,5.759660434,5.488347892,5.346124565,5.150979283
Austria,4.156259043,4.176705531,4.054619163,3.86861903,3.833557613,3.763536484,3.9477968,3.729968116,3.685536048,3.726138543,3.555638114
Azerbaijan,10.01398588,8.319654598,6.096061348,4.462594036,4.431084492,3.62863822,3.358711178,3.639166761,3.88132061,3.719211335,3.762405728
Burundi,15.10539889,15.12467038,14.65311171,14.24473314,13.79717926,13.51131993,13.30081653,13.04384721,7.931523954,7.958483564,7.826447063
Belgium,6.019947749,5.889367817,5.695156695,5.413183527,5.535094703,5.440103234,5.698716746,5.213626749,4.983873047,5.164315523,4.782440467
Benin,7.653724135,7.551457437,8.572005956,8.793371797,8.569375631,8.78718414,9.142017246,9.12302419,9.031233378,8.831967482,8.615622669
Burkina Faso,5.952552277,6.877003536,6.93912579,7.028742614,6.984991906,6.84565604,6.438594833,6.273846712,6.172139832,6.271369012,5.949926311
Bangladesh,3.537152982,3.447571281,3.462797908,3.37923653,3.345618172,3.350706506,3.437324786,3.34942384,3.299577589,3.178493909,3.129437284
Bulgaria,8.719116575,8.589515595,8.272861592,7.555034851,7.055255267,6.497586047,6.629887109,7.02259481,6.689322713,6.086377139,6.35695483
